        time         |   x    |   y    |  cell   |      rx_level       
 2009-06-12 14:23:28 | 125445 | 415885 | KBOHBI1 | -87.428573608398438
 2009-06-12 14:23:26 | 125450 | 415855 | KBOHBI1 | -87.823532104492188
 2009-06-12 14:23:59 | 125450 | 416380 | KBOHBI1 | -85.909088134765625
 2009-06-12 14:24:00 | 125450 | 416385 | KBOHBI1 | -85.272727966308594
 2009-07-27 14:37:14 | 125450 | 420080 | KBOHBI1 | -78.181816101074219
 2008-11-11 06:56:33 | 125450 | 420115 | KBOHBI1 |              -82.75
 2009-03-12 14:18:03 | 125455 | 415845 | KBOHBI1 | -86.090911865234375
 2009-06-12 14:23:25 | 125455 | 415855 | KBOHBI1 | -88.538459777832031
 2009-03-12 14:18:40 | 125455 | 416400 | KBOHBI1 | -86.909088134765625
 2009-07-27 14:37:14 | 125455 | 420080 | KBOHBI1 | -78.363639831542969
 2009-07-27 14:37:01 | 125455 | 420155 | KBOHBI1 |  -77.23809814453125
 2009-06-12 14:23:24 | 125460 | 415825 | KBOHBI1 | -90.400001525878906
 2009-06-12 14:23:24 | 125460 | 415830 | KBOHBI1 | -88.857139587402344
 2009-06-12 14:24:01 | 125460 | 416410 | KBOHBI1 | -86.099998474121094
 2009-06-12 14:24:02 | 125460 | 416415 | KBOHBI1 | -85.090911865234375
 2009-03-12 14:18:42 | 125465 | 416425 | KBOHBI1 | -84.714286804199219
 2008-11-11 06:56:33 | 125465 | 420110 | KBOHBI1 | -83.333335876464844
 2009-03-12 14:18:00 | 125470 | 415790 | KBOHBI1 | -87.545455932617188
 2009-06-12 14:24:03 | 125470 | 416435 | KBOHBI1 | -83.272727966308594
 2009-07-27 14:37:16 | 125470 | 420075 | KBOHBI1 | -79.090911865234375
 2009-07-27 14:37:01 | 125470 | 420160 | KBOHBI1 | -76.090911865234375
 2009-06-12 14:24:04 | 125475 | 416440 | KBOHBI1 |                 -86
 2009-07-27 14:37:16 | 125475 | 420075 | KBOHBI1 | -78.599998474121094
 2008-11-11 07:18:49 | 125475 | 420110 | KBOHBI1 | -82.699996948242188
 2009-07-27 14:37:00 | 125475 | 420160 | KBOHBI1 |             -78.625
 2002-03-05 13:10:00 | 125480 | 415815 | KBOHBI1 |                 -87
 2009-03-12 14:18:44 | 125480 | 416455 | KBOHBI1 | -85.909088134765625
 2002-03-05 13:10:00 | 125485 | 415740 | KBOHBI1 |                 -85
 2002-03-05 13:10:00 | 125485 | 415755 | KBOHBI1 |                 -85
 2002-03-05 13:10:00 | 125485 | 415770 | KBOHBI1 |                 -85
 2002-03-05 13:10:00 | 125485 | 415780 | KBOHBI1 |                 -85
 2002-03-05 13:10:00 | 125485 | 415795 | KBOHBI1 |                 -87
 2009-06-12 14:24:05 | 125485 | 416465 | KBOHBI1 | -83.400001525878906
 2009-06-12 14:24:06 | 125485 | 416470 | KBOHBI1 | -85.181816101074219
 2009-07-27 14:36:59 | 125490 | 420170 | KBOHBI1 | -80.599998474121094
 2009-06-12 14:24:07 | 125495 | 416495 | KBOHBI1 |            -86.5625
 2009-06-12 14:24:08 | 125495 | 416500 | KBOHBI1 |                 -87
 2009-07-27 14:37:17 | 125495 | 420065 | KBOHBI1 |           -82.21875
 2008-11-11 06:56:30 | 125495 | 420110 | KBOHBI1 | -82.333335876464844
 2009-07-27 14:36:58 | 125495 | 420170 | KBOHBI1 | -78.933334350585938
 2009-06-12 14:24:09 | 125500 | 416520 | KBOHBI1 | -86.571426391601562
 2009-03-12 14:18:49 | 125500 | 416535 | KBOHBI1 | -81.181816101074219
 2008-11-11 06:56:30 | 125500 | 420110 | KBOHBI1 |              -83.25
 2009-06-12 14:24:10 | 125505 | 416525 | KBOHBI1 | -90.599998474121094
 2009-06-12 14:24:11 | 125510 | 416550 | KBOHBI1 | -88.363639831542969
 2009-07-27 14:37:19 | 125510 | 420060 | KBOHBI1 |                 -85
 2009-07-27 14:36:56 | 125510 | 420175 | KBOHBI1 | -79.571426391601562
 2009-06-12 14:24:12 | 125515 | 416550 | KBOHBI1 | -87.666664123535156
 2009-07-27 14:37:21 | 125515 | 420060 | KBOHBI1 | -83.599998474121094
 2009-07-27 14:36:55 | 125515 | 420175 | KBOHBI1 |            -78.4375
 2009-03-12 14:18:52 | 125520 | 416560 | KBOHBI1 | -83.142860412597656
 2008-11-11 07:18:49 | 125520 | 420105 | KBOHBI1 | -83.727272033691406
 2009-06-12 14:24:13 | 125530 | 416570 | KBOHBI1 | -86.666664123535156
 2009-06-12 14:24:14 | 125530 | 416575 | KBOHBI1 | -87.111114501953125
 2009-07-27 14:37:22 | 125530 | 420055 | KBOHBI1 | -81.533332824707031
 2008-11-11 06:56:28 | 125530 | 420105 | KBOHBI1 |                 -82
 2009-07-27 14:36:55 | 125530 | 420185 | KBOHBI1 |             -82.625
 2009-07-27 14:37:23 | 125535 | 420055 | KBOHBI1 | -79.400001525878906
 2009-07-27 14:36:53 | 125535 | 420185 | KBOHBI1 |              -79.75
 2009-03-12 14:18:54 | 125545 | 416575 | KBOHBI1 | -83.800003051757812
 2003-11-25 13:48:54 | 125545 | 420055 | KBOHBI1 |              -79.25
 2009-06-12 14:24:15 | 125550 | 416585 | KBOHBI1 | -87.916664123535156
 2008-11-11 06:56:27 | 125550 | 420100 | KBOHBI1 |                 -86
 2009-06-12 14:24:16 | 125555 | 416585 | KBOHBI1 |               -86.5
 2009-07-27 14:37:24 | 125555 | 420050 | KBOHBI1 | -81.068962097167969
 2008-11-11 07:18:49 | 125555 | 420100 | KBOHBI1 | -86.199996948242188
 2009-07-27 14:36:53 | 125555 | 420195 | KBOHBI1 | -79.043479919433594
 2003-11-25 13:49:19 | 125565 | 420205 | KBOHBI1 |               -81.5
 2009-07-27 14:37:25 | 125570 | 420045 | KBOHBI1 | -83.464286804199219
 2008-11-11 06:56:25 | 125575 | 420100 | KBOHBI1 |               -83.5
 2009-07-27 14:36:50 | 125575 | 420205 | KBOHBI1 | -77.882354736328125
 2009-07-27 14:37:28 | 125580 | 420040 | KBOHBI1 | -82.099998474121094
 2009-07-27 14:36:49 | 125580 | 420205 | KBOHBI1 |            -77.4375
 2009-07-27 14:37:28 | 125585 | 420040 | KBOHBI1 | -83.099998474121094
 2008-11-11 07:18:49 | 125585 | 420100 | KBOHBI1 | -83.666664123535156
 2009-07-27 14:37:30 | 125595 | 420035 | KBOHBI1 | -81.727272033691406
 2009-07-27 14:37:30 | 125595 | 420040 | KBOHBI1 | -82.333335876464844
 2008-11-11 06:56:22 | 125600 | 420095 | KBOHBI1 |                 -83
 2009-07-27 14:36:47 | 125600 | 420215 | KBOHBI1 | -79.648651123046875
 2009-07-27 14:37:32 | 125610 | 420030 | KBOHBI1 | -82.193550109863281
 2008-11-11 06:56:21 | 125610 | 420095 | KBOHBI1 |                 -81
 2003-11-25 13:49:23 | 125610 | 420225 | KBOHBI1 | -77.833335876464844
 2009-07-27 14:37:35 | 125620 | 420020 | KBOHBI1 | -81.434783935546875
 2009-07-27 14:37:33 | 125620 | 420025 | KBOHBI1 | -81.285713195800781
 2009-07-27 14:36:47 | 125620 | 420225 | KBOHBI1 |             -82.375
 2009-07-27 14:37:36 | 125625 | 420010 | KBOHBI1 | -83.360000610351562
 2008-11-11 06:56:21 | 125625 | 420095 | KBOHBI1 | -82.090911865234375
 2009-03-12 14:18:59 | 125630 | 416585 | KBOHBI1 | -86.090911865234375
 2009-07-27 14:37:37 | 125635 | 419995 | KBOHBI1 | -84.344825744628906
 2003-11-25 13:48:45 | 125635 | 420005 | KBOHBI1 |              -79.25
 2008-11-11 06:56:19 | 125635 | 420090 | KBOHBI1 | -82.153846740722656
 2009-07-27 14:36:43 | 125640 | 420230 | KBOHBI1 | -83.571426391601562
 2003-11-25 13:49:24 | 125640 | 420240 | KBOHBI1 |              -75.75
 2009-07-27 14:37:39 | 125650 | 419980 | KBOHBI1 | -81.827583312988281
 2008-11-11 06:56:18 | 125650 | 420090 | KBOHBI1 |                 -82
 2009-07-27 14:37:41 | 125660 | 419970 | KBOHBI1 | -84.636360168457031
 2008-11-11 06:56:17 | 125660 | 420090 | KBOHBI1 |              -82.75
 2009-07-27 14:36:42 | 125660 | 420240 | KBOHBI1 | -79.290321350097656
 2009-07-27 14:37:42 | 125665 | 419970 | KBOHBI1 | -78.461540222167969
 2008-11-11 07:18:49 | 125675 | 420085 | KBOHBI1 | -81.166664123535156
 2009-07-27 14:36:41 | 125675 | 420245 | KBOHBI1 | -84.083335876464844
 2009-07-27 14:37:44 | 125680 | 419960 | KBOHBI1 | -81.137931823730469
